d2star	AZJX01.fasta	AAOK01.fasta	NC_005835.1.fasta	JPOY01.fasta	NC_021058.1.fasta	NC_012660.1.fasta	CP000410.1.fasta	NZ_CP009789.1.fasta	NC_009481.1.fasta	ATLG01.fasta	NC_008817.1.fasta	NC_009004.1.fasta	NZ_CP009887.1.fasta	AJKU01.fasta	AZUG01.fasta	AAZW01.fasta	NC_007335.2.fasta	ADXL01.fasta	AAJM01.fasta	ANJD01.fasta	NZ_CP009494.1.fasta	NC_016856.1.fasta	NC_007712.1.fasta	AZKB01.fasta	AFAO01.fasta	NC_017731.1.fasta	NZ_CP009976.1.fasta	NC_003911.12.fasta	CP000312.1.fasta	NC_017196.2.fasta	AE014075.1.fasta	NC_002696.2.fasta	NC_004547.2.fasta	NC_022569.1.fasta	ASWV01.fasta	CP001733.1.fasta	NC_003910.7.fasta	NC_005072.1.fasta	NC_005071.1.fasta	NC_005042.1.fasta	NC_005070.1.fasta	NZ_AP012544.1.fasta	NC_015183.1.fasta	ATLH01.fasta	NZ_CP009840.1.fasta	NC_002754.1.fasta	NC_008820.1.fasta	NZ_CP006882.1.fasta	NC_008054.1.fasta	NC_008819.1.fasta	CP002491.1.fasta	NC_020528.1.fasta	NC_018679.1.fasta	NC_016810.1.fasta	NC_012971.2.fasta	NC_014010.1.fasta	CP003184.1.fasta	NC_008542.1.fasta	NC_003197.1.fasta	NC_007577.1.fasta	NC_003888.3.fasta	NC_003098.1.fasta	NC_002179.2.fasta	ATYQ01.fasta	NC_008380.1.fasta	CP002888.1.fasta	NC_007205.1.fasta	NC_014230.1.fasta	NC_006461.1.fasta	NC_015948.1.fasta	NC_007795.1.fasta
AZUG01.fasta	0.649202	0.789357	0.759305	0.74395	0.609427	0.9393157	0.590414	0.749604	0.810828	0.603693	0.630368	0.594897	0.606506	0.812453	1	0.619337	0.647565	0.84058	0.628923	0.88983	0.878136	0.759155	0.807922	0.646687	0.528157	0.62538	0.603891	0.807502	0.652022	0.625422	0.74384	0.888481	0.716087	0.759477	0.999657901	0.675784	0.662179	0.636016	0.733228	0.658398	0.821416	0.657262	0.80948	0.607319	0.6761	0.621048	0.736926	0.822126	0.784284	0.650327	0.599687	0.866273	0.658877	0.759336	0.748975	0.621255	0.639636	0.85403	0.759383	0.639994	0.897243	0.590492	0.601733	0.867109	0.867209	0.593012	0.667038	0.611361	0.757653	0.784594	0.622883
AAZW01.fasta	0.699946	0.738089	0.518887	0.629828	0.649091	0.675241	0.704989	0.792263	0.714592	0.723555	0.681695	0.710563	0.727207	0.741487	0.619337	1	0.720196	0.684864	0.710695	0.691655	0.583423	0.775359	0.77098	0.698575	0.654739	0.9018728	0.723312	0.579613	0.630211	0.749766	0.795662	0.577584	0.848753	0.776694	0.619401	0.782315	0.883548	0.679038	0.773005	0.705246	0.687847	0.72802	0.687712	0.724384	0.867619	0.636216	0.76528	0.703071	0.578493	0.720621	0.75727	0.64101	0.9238335	0.776269	0.792923	0.690005	0.711746	0.578555	0.775422	0.683497	0.578055	0.705038	0.681723	0.66013	0.659876	0.731167	0.671665	0.667129	0.517956	0.643378	0.748545
NC_007335.2.fasta	0.754038	0.758362	0.574449	0.589001	0.666232	0.660677	0.661702	0.681856	0.719113	0.773748	0.9483744	0.738259	0.777317	0.661586	0.647565	0.720196	1	0.722361	0.80996	0.636637	0.613334	0.670311	0.670118	0.755819	0.553606	0.747463	0.774836	0.57596	0.821981	0.7282	0.687425	0.602594	0.687319	0.671848	0.649392	0.665827	0.791971	0.9504466	0.835951	0.9560672	0.761852	0.644275	0.624933	0.776655	0.71371	0.664407	0.840715	0.755637	0.640041	0.99511667	0.791859	0.627447	0.713103	0.671234	0.68319	0.591137	0.75022	0.623784	0.670332	0.9469983	0.645286	0.661363	0.691715	0.628581	0.627486	0.661946	0.853906	0.687426	0.574263	0.63879	0.811493
ADXL01.fasta	0.657401	0.9255299	0.73015	0.716192	0.629896	0.847996	0.605716	0.726926	0.9457449	0.670968	0.683295	0.601131	0.674008	0.774134	0.84058	0.684864	0.722361	1	0.66308	0.788015	0.79994	0.733702	0.774115	0.658788	0.569108	0.656194	0.67165	0.720492	0.682299	0.657354	0.723881	0.812489	0.713521	0.734192	0.84192	0.67617	0.671956	0.691784	0.863363	0.718606	0.9505192	0.653219	0.760372	0.673552	0.692679	0.629628	0.863794	0.9611939	0.710939	0.721868	0.633804	0.795918	0.687958	0.734008	0.727682	0.595473	0.684367	0.742678	0.734115	0.694918	0.813376	0.605832	0.663769	0.799326	0.799031	0.616164	0.695265	0.647473	0.73001	0.711083	0.648546
AAJM01.fasta	0.74733	0.667441	0.579129	0.558846	0.736443	0.607486	0.762648	0.700173	0.645867	0.778638	0.803436	0.779086	0.782811	0.676414	0.628923	0.710695	0.80996	0.66308	1	0.588787	0.570672	0.691971	0.704925	0.749795	0.605561	0.754633	0.780479	0.566231	0.832743	0.838743	0.705386	0.57714	0.699009	0.692623	0.629705	0.693561	0.766237	0.811638	0.705254	0.81477	0.68182	0.659702	0.630097	0.782304	0.704394	0.729438	0.708347	0.672668	0.650037	0.811169	0.875527	0.625111	0.730237	0.692863	0.700746	0.598073	0.797553	0.585977	0.692312	0.807767	0.625747	0.762404	0.630628	0.624184	0.624043	0.736003	0.80647	0.737019	0.577923	0.642272	0.893835
ANJD01.fasta	0.656793	0.783597	0.688321	0.782701	0.595731	0.9428267	0.612968	0.807541	0.795952	0.615776	0.609951	0.602876	0.618468	0.843303	0.88983	0.691655	0.636637	0.788015	0.588787	1	0.809673	0.799098	0.823926	0.653309	0.583212	0.672423	0.6158	0.818934	0.604958	0.62176	0.802563	0.821724	0.799892	0.799932	0.888723	0.713872	0.701362	0.614586	0.729389	0.638216	0.774829	0.698562	0.838203	0.618555	0.757772	0.60338	0.729647	0.784084	0.720185	0.637528	0.588654	0.822291	0.72516	0.799874	0.806585	0.721704	0.615753	0.805501	0.799494	0.615492	0.787891	0.613	0.611953	0.82546	0.82578	0.610381	0.644761	0.613345	0.687322	0.746811	0.601579
NZ_CP009494.1.fasta	0.604614	0.734197	0.737749	0.767394	0.600224	0.85805	0.564478	0.660306	0.761797	0.583001	0.604987	0.569907	0.584504	0.73174	0.878136	0.583423	0.613334	0.79994	0.570672	0.809673	1	0.655327	0.707413	0.603671	0.464616	0.566636	0.582974	0.811266	0.619132	0.561311	0.651734	0.87118	0.651042	0.655821	0.8783	0.615231	0.607887	0.612105	0.680538	0.631763	0.772491	0.654221	0.755797	0.584791	0.608678	0.611019	0.684307	0.782393	0.724307	0.611749	0.551761	0.826564	0.606002	0.655444	0.660443	0.59791	0.603333	0.85277	0.655753	0.616792	0.9166807	0.564456	0.588219	0.82713	0.827869	0.571244	0.614343	0.603418	0.737027	0.790576	0.579655
NC_016856.1.fasta	0.726871	0.750236	0.630481	0.694761	0.701733	0.775559	0.668687	0.9726246	0.74164	0.693573	0.667022	0.670149	0.696459	0.9426936	0.759155	0.775359	0.670311	0.733702	0.691971	0.799098	0.655327	1	0.9374336	0.724995	0.614857	0.812673	0.694698	0.691536	0.669811	0.706773	0.9746891	0.676662	0.9337575	0.999902489	0.759021	0.814841	0.79139	0.669164	0.7388	0.663177	0.735037	0.761264	0.795294	0.696154	0.891551	0.697284	0.739655	0.735644	0.706352	0.671256	0.704126	0.765772	0.82753	0.999900346	0.9725416	0.751126	0.752811	0.662121	0.999937624	0.672208	0.674957	0.668639	0.651243	0.779009	0.778895	0.690207	0.666616	0.653284	0.629839	0.730728	0.698241
NC_007712.1.fasta	0.738907	0.782605	0.631777	0.731123	0.716195	0.821435	0.703803	0.907902	0.77835	0.693836	0.66391	0.690233	0.697237	0.9222038	0.807922	0.77098	0.670118	0.774115	0.704925	0.823926	0.707413	0.9374336	1	0.73445	0.616922	0.804668	0.694406	0.733711	0.679244	0.725097	0.9100509	0.726276	0.9133847	0.9378229	0.808479	0.817136	0.805674	0.66671	0.751776	0.656506	0.779266	0.752272	0.827867	0.696495	0.869789	0.711481	0.751599	0.77565	0.709498	0.672546	0.711382	0.797237	0.837553	0.9379687	0.9070591	0.752567	0.762484	0.690307	0.9377102	0.671493	0.715717	0.703764	0.643096	0.822668	0.822012	0.725863	0.685614	0.648934	0.630305	0.764942	0.708013
AZKB01.fasta	0.99730697	0.701811	0.528629	0.595109	0.637077	0.650829	0.714502	0.727834	0.674801	0.735173	0.741121	0.753001	0.737263	0.696825	0.646687	0.698575	0.755819	0.658788	0.749795	0.653309	0.603671	0.724995	0.73445	1	0.601736	0.728689	0.736045	0.591612	0.689657	0.756699	0.735078	0.57981	0.737403	0.725499	0.646913	0.690741	0.768293	0.73529	0.740455	0.756258	0.682012	0.7875	0.665658	0.736765	0.725863	0.637666	0.744244	0.67766	0.712402	0.757652	0.81182	0.663768	0.693199	0.726198	0.727812	0.642814	0.691784	0.625214	0.724967	0.737314	0.624399	0.714446	0.688654	0.671051	0.670687	0.741257	0.727264	0.638416	0.529034	0.65261	0.747446
AFAO01.fasta	0.602224	0.602968	0.516773	0.519651	0.561096	0.564589	0.621717	0.607807	0.593676	0.638412	0.532478	0.601232	0.641797	0.603424	0.528157	0.654739	0.553606	0.569108	0.605561	0.583212	0.464616	0.614857	0.616922	0.601736	1	0.643575	0.638819	0.498181	0.544875	0.642776	0.610776	0.509772	0.637909	0.615144	0.527007	0.672146	0.625037	0.52859	0.630786	0.56049	0.553739	0.592164	0.568233	0.64017	0.639993	0.550374	0.623799	0.560029	0.5253	0.554071	0.615022	0.530714	0.655013	0.6155	0.609118	0.570851	0.619286	0.488834	0.615	0.528438	0.491771	0.621961	0.637306	0.53666	0.537149	0.606952	0.546185	0.575315	0.516801	0.522195	0.584493
NC_017731.1.fasta	0.729428	0.713056	0.507412	0.633323	0.676072	0.655103	0.744657	0.821957	0.682207	0.762711	0.723757	0.7564	0.765923	0.754727	0.62538	0.9018728	0.747463	0.656194	0.754633	0.672423	0.566636	0.812673	0.804668	0.728689	0.643575	1	0.763017	0.589843	0.679685	0.754975	0.828218	0.565892	0.87249	0.813631	0.625282	0.800447	0.9227496	0.725267	0.760484	0.729964	0.676138	0.75257	0.700298	0.764202	0.9223802	0.666587	0.754706	0.678393	0.60534	0.749231	0.818408	0.648084	0.893672	0.813936	0.822029	0.730592	0.747206	0.588641	0.812672	0.724927	0.566697	0.744583	0.706154	0.664333	0.663785	0.773776	0.714084	0.681402	0.506563	0.652734	0.77133
NZ_CP009976.1.fasta	0.734166	0.70337	0.601608	0.583284	0.663378	0.611695	0.729302	0.694449	0.677082	0.999281726	0.792878	0.771026	0.99841626	0.673397	0.603891	0.723312	0.774836	0.67165	0.780479	0.6158	0.582974	0.694698	0.694406	0.736045	0.638819	0.763017	1	0.555693	0.782636	0.736663	0.701002	0.580032	0.704142	0.695781	0.604057	0.698042	0.793741	0.798844	0.741909	0.801345	0.691223	0.694582	0.653488	0.99859428	0.732155	0.652564	0.73788	0.691849	0.601664	0.777369	0.800534	0.640573	0.746883	0.695637	0.695316	0.648796	0.799928	0.57404	0.694788	0.799777	0.609729	0.728882	0.785798	0.640284	0.639512	0.757121	0.794618	0.86409	0.60118	0.635182	0.797854
NC_003911.12.fasta	0.593713	0.67277	0.673495	0.899393	0.605898	0.797487	0.576741	0.691422	0.693233	0.556457	0.560773	0.563494	0.559541	0.752811	0.807502	0.579613	0.57596	0.720492	0.566231	0.818934	0.811266	0.691536	0.733711	0.591612	0.498181	0.589843	0.555693	1	0.594536	0.598737	0.684812	0.854368	0.685212	0.691813	0.806331	0.62448	0.613212	0.563245	0.626086	0.584763	0.701472	0.642911	0.848843	0.559412	0.648821	0.612066	0.627551	0.705926	0.664039	0.575015	0.544697	0.854774	0.608703	0.691739	0.691028	0.750276	0.588019	0.799929	0.692046	0.564497	0.784872	0.576858	0.550031	0.856451	0.856833	0.578599	0.605862	0.585271	0.674198	0.691555	0.559984
CP000312.1.fasta	0.686974	0.671416	0.607371	0.612758	0.738463	0.635334	0.727113	0.67782	0.652154	0.781692	0.844314	0.764673	0.786268	0.677823	0.652022	0.630211	0.821981	0.682299	0.832743	0.604958	0.619132	0.669811	0.679244	0.689657	0.544875	0.679685	0.782636	0.594536	1	0.695538	0.682269	0.608426	0.657537	0.670583	0.653649	0.665253	0.72691	0.851101	0.706415	0.819128	0.706761	0.625358	0.631083	0.785573	0.664956	0.734844	0.713625	0.691679	0.649318	0.824609	0.750832	0.646372	0.661026	0.670287	0.67837	0.593565	0.817252	0.623431	0.669902	0.848957	0.654671	0.726668	0.682508	0.641689	0.641349	0.720734	0.847091	0.75649	0.605888	0.648201	0.839426
NC_017196.2.fasta	0.757551	0.692962	0.571334	0.625491	0.65834	0.624888	0.721051	0.704105	0.669138	0.73713	0.702993	0.71723	0.740474	0.694929	0.625422	0.749766	0.7282	0.657354	0.838743	0.62176	0.561311	0.706773	0.725097	0.756699	0.642776	0.754975	0.736663	0.598737	0.695538	1	0.70844	0.592714	0.736354	0.70682	0.626145	0.740636	0.744845	0.699712	0.733304	0.743116	0.672333	0.733727	0.693438	0.739194	0.719034	0.652834	0.733689	0.670964	0.644895	0.729246	0.818947	0.675538	0.757282	0.707769	0.705132	0.639102	0.772447	0.591781	0.706928	0.698657	0.62301	0.720908	0.65613	0.68721	0.687026	0.701788	0.678645	0.653202	0.571575	0.644653	0.765306
AE014075.1.fasta	0.736074	0.757128	0.613408	0.698284	0.707731	0.768882	0.674244	0.99763837	0.740698	0.699992	0.679475	0.688773	0.703145	0.9251761	0.74384	0.795662	0.687425	0.723881	0.705386	0.802563	0.651734	0.9746891	0.9100509	0.735078	0.610776	0.828218	0.701002	0.684812	0.682269	0.70844	1	0.656523	0.9362213	0.9751217	0.743509	0.820471	0.813586	0.680285	0.751667	0.681736	0.735371	0.77045	0.793441	0.702433	0.9073597	0.70287	0.752822	0.735134	0.704394	0.688031	0.721586	0.754661	0.841117	0.9754288	0.99751904	0.769189	0.753298	0.657731	0.9747508	0.686547	0.661756	0.674143	0.655813	0.7673	0.767577	0.699496	0.676492	0.659309	0.612921	0.726849	0.713947
NC_002696.2.fasta	0.581734	0.743708	0.773737	0.795147	0.574416	0.865872	0.561238	0.665273	0.772149	0.579767	0.588905	0.560167	0.58278	0.751675	0.888481	0.577584	0.602594	0.812489	0.57714	0.821724	0.87118	0.676662	0.726276	0.57981	0.509772	0.565892	0.580032	0.854368	0.608426	0.592714	0.656523	1	0.64294	0.677112	0.888742	0.623074	0.601246	0.598207	0.680122	0.622659	0.778813	0.613326	0.802923	0.582354	0.601819	0.589353	0.680913	0.786876	0.720038	0.602945	0.53937	0.868305	0.599119	0.676506	0.665121	0.624238	0.596352	0.832119	0.677214	0.603571	0.886584	0.561294	0.597672	0.860076	0.860186	0.564698	0.628911	0.607503	0.773151	0.731909	0.572925
NC_004547.2.fasta	0.739524	0.756225	0.570835	0.724294	0.690369	0.756216	0.718265	0.9339944	0.737769	0.703848	0.667128	0.704916	0.70635	0.884834	0.716087	0.848753	0.687319	0.713521	0.699009	0.799892	0.651042	0.9337575	0.9133847	0.737403	0.637909	0.87249	0.704142	0.685212	0.657537	0.736354	0.9362213	0.64294	1	0.93435	0.715764	0.839596	0.835978	0.668156	0.758885	0.665034	0.726424	0.787607	0.801454	0.705764	0.9360786	0.682897	0.758249	0.729679	0.660063	0.689409	0.738452	0.738651	0.871608	0.9343703	0.934112	0.787368	0.753557	0.664945	0.9339876	0.670657	0.638593	0.718182	0.671521	0.76363	0.763509	0.735886	0.667987	0.649692	0.570812	0.71836	0.700255
